Entity,Type,FullName
1-O,OTH,1 de octubre de 2017. Referéndum de independencia de Cataluña de 2017
26-J,OTH,26 de julio de 2016. Elecciones Generales
ABC,MED,Diario ABC
Acción Católica,ORG,
Adriana Lastra,PERS,
AEPD,ORG,Agencia Española de Protección de Datos
Affinity,ORG,Fundación Affinity
Agencias,MED,Agencias de noticias
Aguirre,PERS,Esperanza Aguirre
Albalate,PERS,
Albert Rivera,PERS,
Alfonso Dastis,PERS,Alfonso María Dastis Quecedo
Alianza Popular,ORG,
Alianza Progresista de Socialistas,ORG,
Antoni Rodríguez,PERS,
AP,MED,Agencia Associated Press
Atresmedia,ORG,
Audiencia Nacional,ORG,
Audiencia Provincial,ORG,
Bekaert,PERS,
Beretta,PERS,
Bigotes,PERS,Álvaro Pérez “El Bigotes”
Bild,ORG,The Bild
BOE,OTH,Boletín Oficial del Estado
Bárcenas,PERS,José Luís Bárcenas
Carles Puigdemont,PERS,
Carlos de Pedro López,PERS,
Cifuentes,PERS,Cristina Cifuentes
Circulo Balear,PERS,
CIS,ORG,Centro de Investigaciones Sociológicas
Ciudadanos,ORG,
Cofrades de Viveiro,ORG,
Confidencial,MED,El Confidencial
Constitucional,ORG,Tribunal Constitucional
Cospedal,PERS,María Dolores de Cospedal
Cristina Cifuentes,PERS,
Cristóbal Montoro,PERS,
Cs,ORG,Ciudadanos
Cuevillas,PERS,Jaume Alonso-Cuevillas
Cultura,ORG,"Ministerio de Educación, Cultura y Deporte"
David Rubio,PERS,
Defensa,ORG,Ministerio de Defensa
División de Investigación Criminal,ORG,
Díaz Moñux,PERS,
Iglesias,PERS,Pablo Iglesias
Errejón,PERS,Íñigo Errejón
Echenique,PERS,Pablo Echenique
Ecologistas en Acción,ORG,
EFE,MED,Agencia EFE
Ejecutivo,ORG,Gobierno
Elena Valenciano,PERS,
Ernest Urtasun,PERS,
Espinar,PERS,Ramón Espinar Merino
Esther Palomera,PERS,
ETA,ORG,
EP,MED,Agencia Europa Press
Europa Press,MED,Agencia Europa Press
Europol,ORG,
Federación Española de Galgos,ORG,
Fernando Martínez Maíllo,PERS,
Financial Times,ORG,
Fiscalía General,ORG,
Fiscalía,ORG,Fiscalía General
FMI,ORG,Fondo Monetario Internacional
Francisco Granados,PERS,
Francisco Marhuenda,PERS,
Fundación Civio,ORG,
Fátima Báñez,PERS,
Gobierno,ORG,Gobierno
Guardia Civil,ORG,
Guindos,PERS,Luís de Guindos
Gürtel,OTH,Caso Gürtel
Hacienda,ORG,Ministerio de Hacienda
Heredia,PERS,Miguel Ángel Heredia
Ignacio Escolar,PERS,
Ignacio González,PERS,
Ignacio López,PERS,
Ignacio Urquizu,PERS,
Inda,PERS,Eduardo Inda
INE,ORG,Instituto Nacional de Estadística
Instituto Nacional de Estadística,ORG,
IU,ORG,Izquierda Unida
IVA,OTH,Impuesto sobre el Valor Añadido
Izquierda Unida,ORG,
Jaume Alonso-Cuevillas,PERS,
Jens Weidmann,PERS,Jens Weidmann
Jesús Trabada,PERS,
Joaquím Brugué,PERS,
Jordi Sànchez,PERS,
Jorge Fernández Díaz,PERS,
Josep Miquel Arenas Beltrán,PERS,
José Creuheras,PERS,
José Luis Rodríguez Zapatero,PERS,
Justicia,ORG,Ministerio de Justicia
Ku Kux Klan,ORG,
La Razón,MED,
Lapuerta,PERS,Álvaro Lapuerta
Laureano Oubiña,PERS,
Legión,ORG,Legión Española
Lehman Brothers,ORG,
Lezo,OTH,Caso Lezo
Llamazares,PERS,Gaspar Llamazares
Lomce,LAW,LOMCE (Ley Orgánica para la Mejora de la Calidad Educativa)
Lorena Ruíz-Huerta,PERS,
Luis Bárcenas,PERS,
Manuel Fraga,PERS,
Manuel García Castellón,PERS,
Manuel Villarejo,PERS,
Marhuenda,PERS,
Marta Sánchez,PERS,
María Dolores de Cospedal,PERS,
Mauricio Casals,PERS,
Mercadona,ORG,
Miguel Urbán,PERS,
Miguel Villar Mir,PERS,
Miguel Ángel Heredia,PERS,
Ministerio de Defensa,ORG,
Ministerio de Empleo,ORG,
Mintra,ORG,
Montoro,PERS,Cristóbal Montoro
Mossos,ORG,Mossos d'Esquadra
Méndez de Vigo,PERS,
Naciones Unidas,ORG,Organización de las Naciones Unidas
OCDE,ORG,Organización para la Cooperación y el Desarrollo Económicos
ONU,ORG,Organización de las Naciones Unidas
Parlamento Europeo,ORG,
Paul Bekaert,PERS,
Pedro Sánchez,PERS,
PIB,OTH,Producto Interior Bruto
Pilar Velasco,PERS,
Planeta,ORG,Editorial Planeta
Podemos,ORG,Partido Podemos
Policía Nacional,ORG,
Popular,ORG,Partido Popular
PP,ORG,Partido Popular
Presidencia,ORG,Gobierno
Presupuestos,OTH,Presupuestos Generales del Estado
Provincias,ORG,Diário Las Provincias
PSOE,ORG,Partido Socialista Obrero Español
Puigdemont,PERS,Carles Puigdemont
Rafael Hernando,PERS,
Rajoy,PERS,Mariano Rajoy
Ramón Escolano,PERS,
Ramón Espinar,PERS,Ramón Espinar Merino
Raquel Ejerique,PERS,
Registro de Orígenes,ORG,
Rivera,PERS,Albert Rivera
Rubalcaba,PERS,Alfredo Pérez Rubalcaba
Rubén Semedo,PERS,
Ruiz-Huerta,PERS,Lorena Ruiz-Huerta
Secretaría de Estado,ORG,
Seguridad Social,ORG,
Seprona,ORG,Servicio de Protección de la Naturaleza
Supremo,ORG,Tribunal Supremo
Susana Díaz,PERS,
TC,ORG,Tribunal Constitucional
The Washington Post,ORG,
Tribunal Constitucional,ORG,
Tribunal Superior,ORG,
Tribunal Supremo,ORG,
Twitter,ORG,
Unidos Podemos,ORG,
Universitat Autónoma de Barcelona,ORG,
Urbán,PERS,Miguel Urbán
Urquizu,PERS,Ignacio Urquizu
Valle-Inclán,PERS,
Valtonyc,PERS,Josep Miquel Arenas Beltrán
Via Crucisirreverente,ORG,
Villarreal,ORG,Villarreal Club de Fútbol
Weidmann,PERS,Jens Weidmann
Wert,PERS,José Ignacio Wert
Xavier Goicoechea Fernández,PERS,
Ximo Puig,PERS,
Ángel Gabilondo,PERS,
Ángel Garrido,PERS,
Ángel Heredia,PERS,
Ángel Piñeiro,PERS,
Reuters,MED,Agencia Reuters
Vanguardia,MED,La Vanguardia
Zoido,ORG,Juan Ignacio Zoido
